CREATION_DATE,REGNO,FLT_NUM,STNFR,STNTO,AHRS,ACYC,N1EGTA,N1GLA,N1WB,N1PT,N1P2A,N1LCOT,N1LCIT,N1IGV,N1SCV,N1LOT,N1HOT,V1STA,V1EGTP,V1NPA,V1LOT,V1LCIT
2023-01-16 14:31,HL7709,KE0866,CAN,ICN,49457,38116,498,36,826,56.6,14,174,12,17,64,112,90,48,576,37,16,10
2023-01-17 1:02,HL7554,KE0672,KUL,ICN,22770,15654,545,47,824,52.6,14,171,20,17,61,106,86,46,661,44,22,15
2023-01-17 10:45,HL7553,KE1174,CJU,GMP,38866,30480,508,43,824,54.9,14,172,16,17,60,104,83,44,560,49,51,13
2023-01-17 11:17,HL7585,KE0457,ICN,DAD,36940,27344,497,72,828,57.9,14.1,159,13,17,64,108,86,47,563,39,11,15
2023-01-17 12:28,HL7540,KE2102,HND,GMP,46752,34066,530,62,830,55.9,14.1,164,8,17,64,112,91,44,595,45,36,7
2023-01-17 13:38,HL7524,KE0742,NGO,ICN,46964,36027,514,51,825,54.5,13.7,172,16,17,63,104,84,44,545,49,36,9
2023-01-17 13:59,HL7701,KE0704,NRT,ICN,32744,27882,520,43,830,55.4,13.8,168,6,17,51,105,85,44,634,45,44,15
2023-01-17 15:59,HL7720,KE0470,SGN,ICN,48633,36209,569,58,816,51.3,13.5,193,32,18,66,121,103,47,641,46,23,17
2023-01-17 16:11,HL7587,KE0862,TAO,ICN,38680,30635,521,36,830,56.8,13.9,167,6,17,64,107,89,44,596,46,40,9
2023-01-17 19:47,HL7553,KE1310,CJU,GMP,38871,30484,507,39,826,54.5,13.9,173,15,17,60,104,84,45,568,49,54,15
2023-01-18 9:00,HL7553,KE2101,GMP,HND,38879,30487,520,81,829,56.3,14,164,10,17,60,106,83,46,594,40,57,17
2023-01-18 10:45,HL7540,KE1174,CJU,GMP,46761,34072,516,40,829,56,14.1,163,7,17,64,107,87,45,583,46,56,15
2023-01-18 13:22,HL7710,KE0186,TPE,ICN,52698,40241,526,58,826,54.6,13.9,178,15,17,60,110,91,46,600,45,18,8
2023-01-18 14:27,HL7720,KE0622,MNL,ICN,48640,36213,575,83,817,51.8,13.6,190,30,18,66,120,102,47,626,46,21,16
2023-01-18 15:12,HL7702,KE0704,NRT,ICN,16239,10392,529,49,825,56,13.8,177,14,17,62,110,90,46,592,47,27,14
2023-01-18 15:42,HL7586,KE0102,NKG,ICN,23319,15458,513,42,824,56.9,14.1,172,16,17,58,107,90,43,628,46,26,4
2023-01-18 16:05,HL7524,KE0888,XMN,ICN,46971,36033,510,37,822,54.2,13.8,179,23,17,63,104,83,48,580,48,29,16
2023-01-18 16:39,HL7701,KE0663,ICN,HKT,32753,27886,526,70,832,57.6,13.9,163,0,15,51,106,85,43,616,45,24,4
2023-01-18 17:04,HL7585,KE0470,SGN,ICN,36947,27349,570,70,827,51,13.9,190,13,17,63,122,101,47,660,45,22,14
2023-01-18 18:03,HL7587,KE0458,DAD,ICN,38690,30641,568,60,824,53.4,13.9,180,20,17,64,111,90,46,645,45,29,14
2023-01-19 10:10,HL7554,KE0703,ICN,NRT,22788,15668,516,64,831,57.7,14.2,161,5,17,62,112,90,47,644,46,69,20
2023-01-19 13:28,HL7702,KE0186,TPE,ICN,16246,10399,543,54,824,55.1,13.9,184,22,17,63,110,87,47,609,46,22,13
2023-01-19 14:33,HL7709,KE0622,MNL,ICN,49478,38130,560,66,816,52.7,13.8,192,33,18,64,127,102,51,616,45,19,19
2023-01-19 16:36,HL7553,KE2103,GMP,HND,38894,30495,510,46,825,54.8,13.9,172,18,17,60,105,84,45,559,40,23,4
2023-01-19 17:56,HL7720,KE0458,DAD,ICN,48650,36220,551,68,823,53.4,13.7,183,22,17,66,115,96,46,636,45,18,11
2023-01-19 18:11,HL7585,KE0667,ICN,CNX,36955,27355,510,79,828,56.2,14,166,13,17,63,109,87,46,561,48,30,14
2023-01-19 20:57,HL7524,KE0689,ICN,PNH,46982,36039,521,69,827,55.7,13.8,170,13,17,63,106,84,46,569,39,21,2
