Date,Aircraft,Flight,Departure,Arrival,APU_Oil_Temperature_Max,Load_Compressor_Inlet_Temperature,,,Compensated,,,Ulaanbaatar_temp,Incheon_temp,Dubai_temp,Danang_temp
2025-07-11 6:46,HL8002,KAL725,RKSI,RJBB,112,44,,,89.2,,,,,,
2025-07-11 5:39,HL8025,KAL951,RKSI,OMDB,106,34,,,95.2,,,,,,
2025-07-11 5:27,HL7710,KAL828,ZGSZ,RKSI,102,38,,,,,,,,,
2025-07-11 4:57,HL7585,KAL869,RKSI,ZYTL,100,34,,,89.2,,,,,,
2025-07-11 4:57,HL8026,KAL198,ZMCK,RKSI,103,35,,,,,,,,,
2025-07-11 3:57,HL7553,KAL132,ZHCC,RKSI,102,42,,,,,,,,,
2025-07-11 2:37,HL7709,KAL1188,RKPC,RKSS,95,30,,,,,,,,,
2025-07-11 2:18,HL8002,KAL832,ZYTX,RKSI,110,42,,,,,,,,,
2025-07-11 1:29,HL7584,KAL1174,RKPC,RKSS,97,30,,,,,,,,,
2025-07-11 0:42,HL8003,KAL657,RKSI,VTBS,107,42,,,86.6,,,,,,
2025-07-11 0:18,HL7586,KAL1150,RKPC,RKSS,97,34,,,,,,,,,
2025-07-11 0:10,HL7554,KAL137,RKSI,ZHHH,104,40,,,86,,,,,,
2025-07-10 23:16,HL8002,KAL831,RKSI,ZYTX,106,37,,,91.6,,,,,,
2025-07-10 17:09,HL8025,KAL952,OMDB,RKSI,109,37,,,,,,,,,
2025-07-10 15:44,HL8003,KAL672,WMKK,RKSI,106,43,,,,,,,,,
2025-07-10 14:59,HL8002,KAL658,VTBS,RKSI,109,40,,,,,,,,,
2025-07-10 14:41,HL7587,KAL647,RKSI,WSSS,98,30,,,92,,,,,,
2025-07-10 11:46,HL7720,KAL719,RKSI,RJTT,110,33,,,100.4,,,,,,
2025-07-10 8:36,HL7710,KAL485,RKSI,VVPQ,105,43,,,83.4,,,,,,
2025-07-10 7:52,HL7585,KAL633,RKSI,WADD,99,33,,,89.4,,,,,,
2025-07-10 7:40,HL8003,KAL671,RKSI,WMKK,112,47,,,85.6,,,,,,
2025-07-10 5:32,HL7709,KAL1348,RKPC,RKSS,97,32,,,,,,,,,
2025-07-10 5:19,HL8025,KAL951,RKSI,OMDB,109,36,,,95.8,,,,,,
2025-07-10 5:18,HL7701,KAL828,ZGSZ,RKSI,102,29,,,,,,,,,
2025-07-10 4:54,HL7554,KAL812,ZLXY,RKSI,110,45,,,,,,,,,
2025-07-10 4:39,HL8027,KAL866,ZGGG,RKSI,105,40,,,,,,,,,
2025-07-10 2:34,HL7586,KAL1188,RKPC,RKSS,99,36,,,,,,,,,
2025-07-10 1:27,HL7584,KAL1174,RKPC,RKSS,98,31,,,,,,,,,
2025-07-10 0:41,HL8002,KAL657,RKSI,VTBS,110,42,,,89.6,,,,,,
2025-07-09 23:58,HL7587,KAL137,RKSI,ZHHH,100,31,,,92.8,,,,,,
2025-07-09 23:44,HL8003,KAL648,WSSS,RKSI,107,41,,,,,,,,,
2025-07-09 23:15,HL7720,KAL197,RKSI,ZMCK,109,31,,,101.8,,,,,,
2025-07-09 23:08,HL7710,KAL831,RKSI,ZYTX,103,39,,,86.2,,,,,,
2025-07-09 22:44,HL8026,KAL408,YBBN,RKSI,92,29,,,,,,,,,
2025-07-09 16:58,HL8002,KAL690,VDPP,RKSI,108,39,,,,,,,,,
